bras,tick,hit_rate_mediane,n_seeds
oracle,400,1.0,12
oracle,800,1.0,12
oracle,1200,1.0,12
oracle,1600,1.0,12
oracle,2000,1.0,12
lr0_reference,400,0.1223095668509854,12
lr0_reference,800,0.12098601807069304,12
lr0_reference,1200,0.12378460466920581,12
lr0_reference,1600,0.125533639820796,12
lr0_reference,2000,0.12625,12
natural,400,0.22677781895628138,12
natural,800,0.2505208333333333,12
natural,1200,0.26891074994744585,12
natural,1600,0.2768817213749124,12
natural,2000,0.276781817556585,12
lr_low,400,0.2584953906491999,12
lr_low,800,0.2734375,12
lr_low,1200,0.27770845058590465,12
lr_low,1600,0.28275077694661166,12
lr_low,2000,0.2825012117049799,12
td_off,400,0.18896547429158136,12
td_off,800,0.21243757901390645,12
td_off,1200,0.2191866705698673,12
td_off,1600,0.21758760227676982,12
td_off,2000,0.2217094017094017,12
x0.05,400,0.2406744508823335,12
x0.05,800,0.27026126492942454,12
x0.05,1200,0.2715126810766515,12
x0.05,1600,0.2656959527946713,12
x0.05,2000,0.2639174543676662,12
