seed,sujet,within_ratio
2026,intact,0.990990990990991
3026,intact,0.9238095238095239
3027,intact,0.8640776699029126
3028,intact,0.8725490196078431
3029,intact,1.0196078431372548
3030,intact,0.8725490196078431
3031,intact,0.9423076923076923
2026,aveugle,0.9329268292682927
3026,aveugle,0.896551724137931
3027,aveugle,0.896551724137931
3028,aveugle,1.0129870129870129
3029,aveugle,0.9407894736842105
3030,aveugle,0.9662162162162162
3031,aveugle,1.0592592592592593
record,noop_bas,0.922
record,noop_haut,1.058
